,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,DC,1359538,1,PBKS,1_1,4,0,-1,4,0,0.45351264,4.0,0,-1,0.45351264,0.54648733
1,DC,1359538,1,PBKS,1_2,6,0,-1,2,0,0.4235909,3.0,0,-1,0.4235909,0.5764091
2,DC,1359538,1,PBKS,1_3,18,0,-1,12,0,0.46500957,6.0,0,-1,0.46500957,0.53499043
3,DC,1359538,1,PBKS,1_4,35,0,-1,17,0,0.53660554,8.75,0,-1,0.53660554,0.46339446
4,DC,1359538,1,PBKS,1_5,51,0,-1,16,0,0.56576204,10.2,0,-1,0.56576204,0.43423796
5,DC,1359538,1,PBKS,1_6,61,0,-1,10,0,0.5519123,10.166666666666666,0,-1,0.5519123,0.4480877
6,DC,1359538,1,PBKS,1_7,71,0,-1,10,0,0.5776838,10.142857142857142,0,-1,0.5776838,0.4223162
7,DC,1359538,1,PBKS,1_8,76,0,-1,5,0,0.54218596,9.5,0,-1,0.54218596,0.45781404
8,DC,1359538,1,PBKS,1_9,83,0,-1,7,0,0.54223055,9.22222222222222,0,-1,0.54223055,0.45776945
9,DC,1359538,1,PBKS,1_10,93,0,-1,10,0,0.59040546,9.3,0,-1,0.59040546,0.40959454
10,DC,1359538,1,PBKS,1_11,103,1,-1,10,1,0.57676613,9.363636363636363,1,-1,0.57676613,0.42323387
11,DC,1359538,1,PBKS,1_12,108,1,-1,5,0,0.52989155,9.0,0,-1,0.52989155,0.47010845
12,DC,1359538,1,PBKS,1_13,125,1,-1,17,0,0.67291254,9.615384615384617,0,-1,0.67291254,0.32708746
13,DC,1359538,1,PBKS,1_14,138,1,-1,13,0,0.7219174,9.857142857142858,0,-1,0.7219174,0.2780826
