,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,RR,1359511,1,CSK,1_1,14,0,-1,14,0,0.59906787,14.0,0,-1,0.59906787,0.40093213
1,RR,1359511,1,CSK,1_2,24,0,-1,10,0,0.6142833,12.0,0,-1,0.6142833,0.38571668
2,RR,1359511,1,CSK,1_3,42,0,-1,18,0,0.64729327,14.0,0,-1,0.64729327,0.35270673
3,RR,1359511,1,CSK,1_4,45,0,-1,3,0,0.57446486,11.25,0,-1,0.57446486,0.42553514
4,RR,1359511,1,CSK,1_5,54,0,-1,9,0,0.62998354,10.8,0,-1,0.62998354,0.37001646
5,RR,1359511,1,CSK,1_6,64,0,-1,10,0,0.6393933,10.666666666666666,0,-1,0.6393933,0.36060667
6,RR,1359511,1,CSK,1_7,75,0,-1,11,0,0.716052,10.714285714285714,0,-1,0.716052,0.283948
7,RR,1359511,1,CSK,1_8,85,0,-1,10,0,0.7845214,10.625,0,-1,0.7845214,0.2154786
8,RR,1359511,1,CSK,1_9,90,1,-1,5,1,0.6337982,10.0,1,-1,0.6337982,0.36620182
9,RR,1359511,1,CSK,1_10,100,1,-1,10,0,0.6313806,10.0,0,-1,0.6313806,0.36861938
10,RR,1359511,1,CSK,1_11,104,1,-1,4,0,0.54598546,9.454545454545457,0,-1,0.54598546,0.45401454
11,RR,1359511,1,CSK,1_12,113,1,-1,9,0,0.6112721,9.416666666666666,0,-1,0.6112721,0.3887279
12,RR,1359511,1,CSK,1_13,125,1,-1,12,0,0.6535938,9.615384615384617,0,-1,0.6535938,0.34640622
13,RR,1359511,1,CSK,1_14,132,3,-1,7,2,0.6493155,9.428571428571429,2,-1,0.6493155,0.35068452
