inning,over,total_runs,player_dismissed,innings_wickets,innings_score,score_target,remaining_target,run_rate,required_run_rate,runrate_diff,is_batting_team,is_toss_winner,team1,team2
1,1,5,0,0,5,-1,-1,5.0,-1,-1,1,0,PBKS,MI
1,2,8,0,0,13,-1,-1,6.5,-1,-1,1,0,PBKS,MI
1,3,7,1,1,20,-1,-1,6.666666666666667,-1,-1,1,0,PBKS,MI
1,4,16,0,1,36,-1,-1,9.0,-1,-1,1,0,PBKS,MI
1,5,10,0,1,46,-1,-1,9.2,-1,-1,1,0,PBKS,MI
1,6,12,0,1,58,-1,-1,9.666666666666666,-1,-1,1,0,PBKS,MI
1,7,12,1,2,70,-1,-1,10.0,-1,-1,1,0,PBKS,MI
1,8,1,0,2,71,-1,-1,8.875,-1,-1,1,0,PBKS,MI
1,9,10,0,2,81,-1,-1,9.0,-1,-1,1,0,PBKS,MI
1,10,2,2,4,83,-1,-1,8.3,-1,-1,1,0,PBKS,MI
1,11,5,0,4,88,-1,-1,8.0,-1,-1,1,0,PBKS,MI
1,12,1,0,4,89,-1,-1,7.416666666666667,-1,-1,1,0,PBKS,MI
1,13,8,0,4,97,-1,-1,7.461538461538462,-1,-1,1,0,PBKS,MI
1,14,8,0,4,105,-1,-1,7.5,-1,-1,1,0,PBKS,MI
