,Team1,match_id,is_batting_team,Team2,innings_over,innings_score,innings_wickets,score_target,total_runs,player_dismissed,predictions,run_rate,wickets_in_over,required_run_rate,predicted_team1,predicted_team2
0,PBKS,1359505,1,MI,1_1,5,0,-1,5,0,0.4289207,5.0,0,-1.0,0.4289207,0.5710793
1,PBKS,1359505,1,MI,1_2,13,0,-1,8,0,0.46466497,6.5,0,-1.0,0.46466497,0.53533506
2,PBKS,1359505,1,MI,1_3,20,1,-1,7,1,0.43504554,6.666666666666667,1,-1.0,0.43504554,0.56495446
3,PBKS,1359505,1,MI,1_4,36,1,-1,16,0,0.497813,9.0,0,-1.0,0.497813,0.502187
4,PBKS,1359505,1,MI,1_5,46,1,-1,10,0,0.49685603,9.2,0,-1.0,0.49685603,0.50314397
5,PBKS,1359505,1,MI,1_6,58,1,-1,12,0,0.5325464,9.666666666666666,0,-1.0,0.5325464,0.4674536
6,PBKS,1359505,1,MI,1_7,70,2,-1,12,1,0.5419606,10.0,1,-1.0,0.5419606,0.4580394
7,PBKS,1359505,1,MI,1_8,71,2,-1,1,0,0.46059233,8.875,0,-1.0,0.46059233,0.5394077
8,PBKS,1359505,1,MI,1_9,81,2,-1,10,0,0.532843,9.0,0,-1.0,0.532843,0.467157
9,PBKS,1359505,1,MI,1_10,83,4,-1,2,2,0.4709814,8.3,2,-1.0,0.4709814,0.52901864
10,PBKS,1359505,1,MI,1_11,88,4,-1,5,0,0.44974497,8.0,0,-1.0,0.44974497,0.55025506
11,PBKS,1359505,1,MI,1_12,89,4,-1,1,0,0.33311933,7.416666666666667,0,-1.0,0.33311933,0.66688067
12,PBKS,1359505,1,MI,1_13,97,4,-1,8,0,0.39749628,7.461538461538462,0,-1.0,0.39749628,0.6025037
13,PBKS,1359505,1,MI,1_14,105,4,-1,8,0,0.40169665,7.5,0,-1.0,0.40169665,0.5983033
14,PBKS,1359505,1,MI,1_15,118,4,-1,13,0,0.44387987,7.866666666666666,0,-1.0,0.44387987,0.55612016
15,PBKS,1359505,1,MI,1_16,149,4,-1,31,0,0.6058812,9.3125,0,-1.0,0.6058812,0.3941188
16,PBKS,1359505,1,MI,1_17,162,4,-1,13,0,0.5606402,9.529411764705882,0,-1.0,0.5606402,0.43935978
17,PBKS,1359505,0,MI,1_18,187,5,215,25,1,0.9681478,10.38888888888889,1,14.0,0.9681478,0.031852186
18,PBKS,1359505,0,MI,1_19,197,6,215,10,1,0.9846124,10.36842105263158,1,18.0,0.9846124,0.015387595
19,PBKS,1359505,0,MI,1_20,214,8,215,17,2,0.9527295,10.7,2,99.0,0.9527295,0.047270477
20,PBKS,1359505,0,MI,2_1,7,0,215,7,0,0.9653447,7.0,0,10.947368421052632,0.9653447,0.034655273
21,PBKS,1359505,0,MI,2_3,21,1,215,8,0,0.9861004,7.0,0,11.411764705882351,0.9861004,0.013899624
22,PBKS,1359505,0,MI,2_4,33,1,215,12,0,0.98701537,8.25,0,11.375,0.98701537,0.012984633
23,PBKS,1359505,0,MI,2_5,46,1,215,13,0,0.9770422,9.2,0,11.266666666666667,0.9770422,0.022957802
24,PBKS,1359505,0,MI,2_6,54,1,215,8,0,0.98033017,9.0,0,11.5,0.98033017,0.01966983
25,PBKS,1359505,0,MI,2_7,59,1,215,5,0,0.9883409,8.428571428571429,0,12.0,0.9883409,0.011659086
26,PBKS,1359505,0,MI,2_8,66,1,215,7,0,0.986863,8.25,0,12.416666666666666,0.986863,0.013136983
27,PBKS,1359505,0,MI,2_9,79,1,215,13,0,0.98601586,8.777777777777779,0,12.363636363636363,0.98601586,0.013984144
